,Unnamed: 0,coilno,clean
0,0,396378,1
1,1,396376,1
2,2,396377,1
3,3,396379,1
4,4,396380,1
5,5,396381,1
6,6,396382,1
7,7,396383,1
8,8,396384,1
9,9,396385,1
10,10,396386,1
11,11,396387,1
12,12,396388,1
13,13,396389,1
14,14,396390,1
15,15,396391,1
16,16,396392,1
17,17,396393,1
18,18,396394,1
19,19,396395,1
20,20,396396,1
21,21,396397,1
22,22,396398,1
23,23,396399,1
24,24,396400,1
25,25,396401,1
26,26,396402,1
27,27,396403,1
28,28,396404,1
29,29,396405,1
30,30,396406,1
31,31,396407,1
32,32,396408,1
33,33,396409,1
34,34,396410,1
35,35,396411,1
36,36,396412,1
37,37,396413,1
38,38,396414,1
39,39,396415,1
40,40,396416,1
41,41,396417,1
42,42,396418,1
43,43,396419,1
44,44,396420,1
45,45,396421,1
46,46,396422,1
47,47,396423,1
48,48,396424,1
49,49,396425,1
50,50,396426,1
51,51,396427,1
52,52,396428,1
53,53,396429,1
54,54,396430,1
55,55,396431,1
56,56,396432,1
57,57,396433,1
58,58,396434,1
59,59,396435,1
60,60,396436,1
61,61,396437,1
62,62,396438,1
63,63,396440,1
64,64,396441,1
65,65,396442,1
66,66,396443,1
67,67,396444,1
68,68,396445,1
69,69,396447,1
70,70,396448,1
71,71,396449,1
72,72,396450,1
73,73,396451,1
74,74,396452,1
75,75,396453,1
76,76,396454,1
77,77,396455,1
78,78,396456,1
79,79,396457,1
80,80,396458,1
81,81,396459,1
82,82,396460,1
83,83,396461,1
84,84,396462,1
85,85,396463,1
86,86,396464,1
87,87,396465,1
88,88,396466,1
89,89,396467,1
90,90,396468,1
91,91,396469,1
92,92,396470,1
93,93,396471,1
94,94,396472,1
95,95,396473,1
96,96,396474,1
98,98,396477,1
99,99,396478,1
100,100,396479,1
101,101,396480,1
102,102,396481,1
103,103,396482,1
104,104,396483,1
105,105,396484,1
106,106,396485,1
107,107,396486,1
108,108,396487,1
109,109,396488,1
110,110,396489,1
111,111,396490,1
112,112,396491,1
113,113,396492,1
114,114,396493,1
115,115,396494,1
116,116,396495,1
117,117,396496,1
118,118,396497,1
119,119,396498,1
120,120,396499,1
121,121,396500,1
122,122,396501,1
123,123,396502,1
124,124,396503,1
125,125,396504,1
126,126,396505,1
127,127,396506,1
128,128,396507,1
129,129,396508,1
130,130,396509,1
131,131,396510,1
132,132,396511,1
133,133,396661,1
134,134,396662,1
135,135,396663,1
136,136,396664,1
137,137,396665,1
138,138,396666,1
139,139,396667,1
140,140,396668,1
141,141,396669,1
142,142,396670,1
143,143,396671,1
144,144,396672,1
145,145,396673,1
146,146,396674,1
147,147,396675,1
148,148,396676,1
149,149,396677,1
150,150,396678,1
151,151,396679,1
152,152,396680,1
153,153,396681,1
154,154,396682,1
155,155,396683,1
156,156,396684,1
157,157,396685,1
158,158,396686,1
159,159,396687,1
160,160,396688,1
161,161,396689,1
162,162,396690,1
163,163,396691,1
164,164,396692,1
165,165,396693,1
166,166,396694,1
167,167,396695,1
168,168,396696,1
169,169,396697,1
170,170,396698,1
171,171,396699,1
172,172,396700,1
173,173,396701,1
174,174,396702,1
175,175,396703,1
176,176,396704,1
177,177,396705,1
178,178,396706,1
179,179,396707,1
180,180,396708,1
181,181,396709,1
182,182,396710,1
183,183,396711,1
184,184,396712,1
185,185,396713,1
186,186,396714,1
187,187,396716,1
188,188,396717,1
189,189,396718,1
190,190,396719,1
191,191,396720,1
192,192,396721,1
193,193,396722,1
194,194,396723,1
195,195,396724,1
196,196,396725,1
197,197,396726,1
198,198,396727,1
199,199,396728,1
200,200,396729,1
201,201,396730,1
202,202,396731,1
203,203,396732,1
204,204,396733,1
205,205,396734,1
206,206,396735,1
207,207,396736,1
208,208,396737,1
209,209,396738,1
210,210,396739,1
211,211,396740,1
212,212,396741,1
213,213,396742,1
214,214,396743,1
215,215,396744,1
216,216,396745,1
217,217,396746,1
218,218,396747,1
219,219,396748,1
220,220,396749,1
221,221,396750,1
222,222,396751,1
223,223,396752,1
224,224,396753,1
225,225,396754,1
226,226,396756,1
227,227,396757,1
228,228,396758,1
229,229,396759,1
230,230,396760,1
231,231,396761,1
232,232,396762,1
233,233,396763,1
234,234,396764,1
235,235,396765,1
236,236,396766,1
237,237,396767,1
238,238,396768,1
239,239,396769,1
240,240,396770,1
241,241,396771,1
242,242,396772,1
243,243,396773,1
244,244,396774,1
245,245,396775,1
246,246,396776,1
247,247,396777,1
248,248,396778,1
249,249,396779,1
250,250,396780,1
251,251,396781,1
252,252,396782,1
253,253,396783,1
254,254,396784,1
255,255,396785,1
256,256,396786,1
257,257,396787,1
258,258,396788,1
259,259,396789,1
260,260,396790,1
261,261,396791,1
262,262,396792,1
263,263,396793,1
264,264,396794,1
265,265,396795,1
266,266,396796,1
267,267,396797,1
268,268,396798,1
269,269,396799,1
270,270,396800,1
271,271,396801,1
272,272,396802,1
273,273,396803,1
274,274,396804,1
275,275,396805,1
276,276,396806,1
277,277,396807,1
278,278,396808,1
279,279,400261,1
280,280,400262,1
281,281,400263,1
282,282,400264,1
283,283,400265,1
284,284,400266,1
285,285,400267,1
286,286,400268,1
287,287,400269,1
288,288,400270,1
289,289,400271,1
290,290,400272,1
291,291,400273,1
292,292,400274,1
293,293,400275,1
294,294,400276,1
295,295,400277,1
296,296,400278,1
297,297,400279,1
298,298,400280,1
299,299,400281,1
300,300,400282,1
301,301,400283,1
302,302,400284,1
303,303,400285,1
304,304,400286,1
305,305,400287,1
306,306,400289,1
307,307,400290,1
308,308,400291,1
309,309,400292,1
310,310,400293,1
311,311,400294,1
312,312,400295,1
313,313,400296,1
314,314,400297,1
315,315,400298,1
316,316,400299,1
317,317,400300,1
318,318,400301,1
319,319,400302,1
320,320,400303,1
321,321,400304,1
322,322,400305,1
323,323,400306,1
324,324,400307,1
325,325,400308,1
326,326,400309,1
327,327,400310,1
328,328,400311,1
329,329,400313,1
330,330,400312,1
331,331,400314,1
332,332,400315,1
333,333,400316,1
334,334,400317,1
335,335,400318,1
336,336,400320,1
337,337,400322,1
338,338,400323,1
339,339,400324,1
340,340,400325,1
341,341,400326,1
342,342,400327,1
343,343,400328,1
344,344,400329,1
345,345,400330,1
346,346,400331,1
347,347,400332,1
348,348,400333,1
349,349,400334,1
350,350,400335,1
351,351,400336,1
352,352,400337,1
353,353,400338,1
354,354,400341,1
355,355,400342,1
356,356,400343,1
357,357,400344,1
358,358,400345,1
359,359,400346,1
360,360,400347,1
361,361,400348,1
362,362,400349,1
363,363,400350,1
364,364,400351,1
365,365,400352,1
366,366,400353,1
367,367,400354,1
368,368,400355,1
369,369,400356,1
370,370,400357,1
371,371,400358,1
372,372,400359,1
373,373,400360,1
374,374,400361,1
375,375,400362,1
376,376,400363,1
377,377,400364,1
378,378,400365,1
379,379,400366,1
380,380,400367,1
381,381,400368,1
382,382,400369,1
383,383,400370,1
384,384,400371,1
385,385,400372,1
386,386,400373,1
387,387,400374,1
388,388,400375,1
389,389,400376,1
390,390,400377,1
391,391,400378,1
392,392,400379,1
393,393,400380,1
394,394,400381,1
395,395,400382,1
396,396,400383,1
397,397,400384,1
398,398,400385,1
399,399,400386,1
400,400,400387,1
401,401,400388,1
402,402,400389,1
403,403,400390,1
404,404,400391,1
405,405,400392,1
406,406,400393,1
407,407,400394,1
408,408,400395,1
409,409,400396,1
410,410,400397,1
411,411,400398,1
412,412,400399,1
413,413,400400,1
414,414,400401,1
415,415,400402,1
416,416,400403,1
417,417,400404,1
418,418,400405,1
419,419,400406,1
420,420,400407,1
421,421,400408,1
422,422,400409,1
423,423,400410,1
424,424,400411,1
425,425,400412,1
426,426,400413,1
427,427,400414,1
428,428,400415,1
429,429,400416,1
430,430,400417,1
431,431,400418,1
432,432,400419,1
433,433,400420,1
434,434,400421,1
435,435,400422,1
436,436,400423,1
437,437,400424,1
438,438,400425,1
439,439,400426,1
440,440,400427,1
441,441,400428,1
442,442,400429,1
443,443,400430,1
444,444,400431,1
445,445,400432,1
446,446,400433,1
447,447,400434,1
448,448,400435,1
449,449,400436,1
450,450,400437,1
451,451,400438,1
452,452,400439,1
453,453,400441,1
454,454,400442,1
456,456,400444,1
457,457,400445,1
458,458,400446,1
459,459,400799,1
460,460,400800,1
461,461,400447,1
462,462,400448,1
463,463,400575,1
464,464,400576,1
465,465,400449,1
466,466,400450,1
467,467,400451,1
468,468,400452,1
469,469,400453,1
470,470,400454,1
471,471,400455,1
472,472,400456,1
474,474,400458,1
475,475,400459,1
476,476,400460,1
477,477,400461,1
478,478,400462,1
479,479,400463,1
480,480,400464,1
481,481,400465,1
482,482,400466,1
483,483,400467,1
484,484,400468,1
485,485,400469,1
486,486,400470,1
487,487,400471,1
488,488,400472,1
489,489,400473,1
490,490,400474,1
491,491,400475,1
492,492,400476,1
493,493,400477,1
494,494,400478,1
495,495,400479,1
496,496,400480,1
497,497,400481,1
498,498,400482,1
499,499,400483,1
500,500,400484,1
501,501,400485,1
502,502,400486,1
503,503,400487,1
504,504,400488,1
505,505,400489,1
506,506,400490,1
507,507,400491,1
508,508,400492,1
509,509,400493,1
510,510,400494,1
511,511,400495,1
512,512,400496,1
513,513,400497,1
514,514,400498,1
515,515,400499,1
516,516,400500,1
517,517,400501,1
518,518,400503,1
519,519,400504,1
520,520,400505,1
521,521,400506,1
522,522,400507,1
523,523,400508,1
524,524,400509,1
525,525,400510,1
526,526,400511,1
527,527,400512,1
528,528,400513,1
529,529,400514,1
530,530,400515,1
531,531,400516,1
532,532,400517,1
533,533,400518,1
534,534,400519,1
535,535,400520,1
536,536,400521,1
537,537,400522,1
538,538,400523,1
539,539,400524,1
540,540,400525,1
541,541,400526,1
542,542,400527,1
543,543,400528,1
544,544,400529,1
545,545,400530,1
546,546,400531,1
547,547,400532,1
548,548,400533,1
549,549,400534,1
550,550,400535,1
551,551,400536,1
552,552,400537,1
553,553,400538,1
554,554,400539,1
555,555,400540,1
556,556,400541,1
557,557,400542,1
558,558,400543,1
559,559,400544,1
560,560,400545,1
561,561,400546,1
562,562,400547,1
563,563,400548,1
564,564,400549,1
565,565,400550,1
566,566,400551,1
567,567,400552,1
568,568,400553,1
569,569,400554,1
570,570,400555,1
571,571,400556,1
572,572,400557,1
573,573,400558,1
574,574,400559,1
575,575,400560,1
576,576,400561,1
577,577,400562,1
578,578,400564,1
579,579,400565,1
580,580,400566,1
581,581,400568,1
582,582,400801,1
